NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating,Total,,,,,,
323122,0,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0.4,1,,,,,,
324,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3241,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3241,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
324110,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
32412,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
324121,0,0.1,0,0,0,0,0,0,0,0,0,0,0.7,1,,,,,,
324122,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
324191,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
324199,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
325,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
3251,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
3251,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
325110,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325120,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325130,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325131,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325132,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325180,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325181,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325182,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325188,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
325191,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
325193,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
325199,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3252,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
3252,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
32521,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
325211,0.2,0.3,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
325212,0.1,0.3,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
325220,0,0.4,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
325221,0.1,0.3,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
325222,0.1,0.3,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
3253,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
32531,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
325311,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
325312,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
325314,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
325320,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
3254,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
3254,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
32541,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
325411,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
325412,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
325413,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
325414,0.3,0.5,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
3255,0.4,0.3,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
3255,0.4,0.3,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
325510,0,0.6,0,0,0.2,0,0,0,0,0,0,0,0.2,1,,,,,,
325520,0.1,0.6,0,0,0.2,0,0,0,0,0,0,0,0.2,1,,,,,,
3256,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
3256,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
32561,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
325611,0.1,0.3,0,0,0,0,0.1,0,0,0,0,0,0.5,1,,,,,,
325612,0.1,0.2,0,0,0,0,0.1,0,0,0,0,0,0.5,1,,,,,,
325613,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0.6,1,,,,,,
325620,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
3259,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
3259,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
325910,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
325920,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
32599,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
325991,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0.5,1,,,,,,
325992,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
325998,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0.5,1,,,,,,
326,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
3261,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
3261,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
32611,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.4,1,,,,,,
326111,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326112,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326113,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
32612,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326121,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326122,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326130,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326140,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326150,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326160,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
32619,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.4,1,,,,,,
326191,0.1,0.2,0,0,0.2,0,0,0,0,0,0,0,0.4,1,,,,,,
326192,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.4,1,,,,,,
326199,0.4,0.1,0,0,0.2,0,0,0,0,0,0,0,0.2,1,,,,,,
3262,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
3262,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
32621,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
326211,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326212,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326220,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
32629,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326291,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
326299,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
327,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
3271,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0.6,1,,,,,,
3271,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0.6,1,,,,,,
327110,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
327111,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0.6,1,,,,,,
327112,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0.6,1,,,,,,
327113,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0.6,1,,,,,,
327120,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0.6,1,,,,,,
327121,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
327122,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
327123,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
327124,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
327125,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3272,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
3272,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
32721,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
327211,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
327212,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
327213,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
327215,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
3273,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
3273,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
327310,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
327320,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
32733,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
327331,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
327332,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
327390,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
3274,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
3274,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
327410,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
327420,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
3279,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
3279,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
327910,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
32799,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
327991,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
327992,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
327993,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
327999,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
33,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.5,1,,,,,,
33,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.5,1,,,,,,
331,0,0,0,0,0.1,0,0,0,0,0,0,0,0.8,1,,,,,,
331110,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0.7,1,,,,,,
331111,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
331112,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1,,,,,,
3312,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
3312,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331210,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
33122,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331221,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331222,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
3313,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
33131,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331312,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331313,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
331314,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331315,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
331316,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331318,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
331319,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,1,,,,,,
3314,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
3314,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331410,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331419,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331420,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331421,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331422,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331423,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331491,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
331492,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
3315,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
