VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
4239,Miscellaneous Durable Goods Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423930,Recyclable Material Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424,"Merchant Wholesalers, Nondurable Goods",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4241,Paper and Paper Product Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4241,Paper and Paper Product Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424110,Printing and Writing Paper Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424120,Stationery and Office Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424130,Industrial and Personal Service Paper Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4242,Drugs and Druggists' Sundries Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4242,Drugs and Druggists' Sundries Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424210,Drugs and Druggists' Sundries Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424320,Warehouse,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424330,Warehouse,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424340,Footwear Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4244,Grocery and Related Product Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4244,Grocery and Related Product Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424410,General Line Grocery Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424450,Confectionery Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424480,Fresh Fruit and Vegetable Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424490,Other Grocery and Related Products Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4245,Farm Product Raw Material Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4245,Farm Product Raw Material Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424510,Grain and Field Bean Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424520,Livestock Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
