VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
711211,Sports Teams and Clubs,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
711212,Racetracks,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
711219,Other Spectator Sports,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7121,"Museums, Historical Sites, and Similar Institutions",Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7121,"Museums, Historical Sites, and Similar Institutions",Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
712110,Museums,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
712120,Historical Sites,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
712130,Zoos and Botanical Gardens,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
712190,Nature Parks and Other Similar Institutions,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713,"Amusement, Gambling, and Recreation Industries",Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7131,Amusement Parks and Arcades,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7131,Amusement Parks and Arcades,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713110,Amusement and Theme Parks,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713120,Amusement Arcades,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7132,Gambling Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7132,Gambling Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713210,Casinos (except Casino Hotels),Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713290,Other Gambling Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7139,Other Amusement and Recreation Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7139,Other Amusement and Recreation Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713910,Golf Courses and Country Clubs,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713920,Skiing Facilities,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713940,Fitness and Recreational Sports Centers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713950,Bowling Centers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
713990,All Other Amusement and Recreation Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7212,RV (Recreational Vehicle) Parks and Recreational Camps,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
7212,RV (Recreational Vehicle) Parks and Recreational Camps,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
