VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
422510,Grain and Field Bean Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422520,Livestock Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422590,Other Farm Product Raw Material Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422610,Plastics Materials and Basic Forms and Shapes Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422690,Other Chemical and Allied Products Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422710,Petroleum Bulk Stations and Terminals,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422720,Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals),Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422810,Beer and Ale Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422820,Wine and Distilled Alcoholic Beverage Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422910,Farm Supplies Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422920,"Book, Periodical, and Newspaper Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422930,"Flower, Nursery Stock, and Florists' Supplies Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422940,Tobacco and Tobacco Product Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422950,"Paint, Varnish, and Supplies Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
422990,Other Miscellaneous Nondurable Goods Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
44,Retail Trade,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441,Motor Vehicle and Parts Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441,Motor Vehicle and Parts Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4411,Automobile Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4411,Automobile Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441110,New Car Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441120,Used Car Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4412,Other Motor Vehicle Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4412,Other Motor Vehicle Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441210,Recreational Vehicle Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441221,Motorcycle Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441222,Boat Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441228,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441229,All Other Motor Vehicle Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4413,"Automotive Parts, Accessories, and Tire Retailers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4413,"Automotive Parts, Accessories, and Tire Retailers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441310,Automotive Parts and Accessories Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
441320,Tire Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
442,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4421,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4421,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
442110,Furniture Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4422,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4422,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
442210,Floor Covering Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
44229,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
442291,Window Treatment Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
442299,All Other Home Furnishings Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
443,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4431,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4431,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
44311,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
443111,Household Appliance Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
