tract_geoid_2019,<60,60,90,150,>150
06001400200,0.125,0.5,0.25,0.125,0.0
06001400300,0.09090909090909091,0.6818181818181818,0.18181818181818182,0.045454545454545456,0.0
06001400400,0.0,0.8695652173913043,0.13043478260869565,0.0,0.0
06001400500,0.09090909090909091,0.6818181818181818,0.18181818181818182,0.045454545454545456,0.0
06001400600,0.0,1.0,0.0,0.0,0.0
06001400700,0.06666666666666667,0.7666666666666667,0.06666666666666667,0.1,0.0
06001400800,0.0,0.6785714285714286,0.21428571428571427,0.10714285714285714,0.0
06001400900,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0
06001401000,0.03571428571428571,0.7142857142857143,0.17857142857142858,0.03571428571428571,0.03571428571428571
06001401100,0.0,0.8333333333333334,0.041666666666666664,0.10416666666666667,0.020833333333333332
06001401200,0.0,0.52,0.2,0.24,0.04
06001401300,0.05,0.55,0.175,0.2,0.025
06001401400,0.0,0.7906976744186046,0.13953488372093023,0.046511627906976744,0.023255813953488372
06001401500,0.0,0.7,0.1,0.1,0.1
06001401600,0.0,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.15384615384615385
06001401700,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.1111111111111111
06001401800,0.0,1.0,0.0,0.0,0.0
06001402200,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111
06001402400,0.0625,0.625,0.1875,0.125,0.0
06001402500,0.0,1.0,0.0,0.0,0.0
06001402600,0.14285714285714285,0.7142857142857143,0.0,0.0,0.14285714285714285
06001402700,0.07692307692307693,0.6153846153846154,0.23076923076923078,0.07692307692307693,0.0
06001402800,0.058823529411764705,0.8235294117647058,0.0,0.058823529411764705,0.058823529411764705
06001402900,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0
06001403000,0.0,0.0,0.0,0.75,0.25
06001403100,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333
06001403300,0.0,0.5833333333333334,0.16666666666666666,0.20833333333333334,0.041666666666666664
06001403400,0.0,0.7222222222222222,0.19444444444444445,0.08333333333333333,0.0
06001403501,0.0,0.6585365853658537,0.1951219512195122,0.12195121951219512,0.024390243902439025
06001403502,0.09090909090909091,0.6818181818181818,0.22727272727272727,0.0,0.0
06001403600,0.015873015873015872,0.4126984126984127,0.42857142857142855,0.14285714285714285,0.0
06001403701,0.038461538461538464,0.5769230769230769,0.2692307692307692,0.09615384615384616,0.019230769230769232
06001403702,0.034482758620689655,0.6206896551724138,0.3103448275862069,0.034482758620689655,0.0
06001403800,0.15217391304347827,0.6956521739130435,0.08695652173913043,0.06521739130434782,0.0
06001403900,0.0,0.6086956521739131,0.34782608695652173,0.043478260869565216,0.0
06001404000,0.10810810810810811,0.6756756756756757,0.16216216216216217,0.02702702702702703,0.02702702702702703
06001404101,0.07142857142857142,0.7142857142857143,0.10714285714285714,0.10714285714285714,0.0
06001404102,0.0,0.43478260869565216,0.391304347826087,0.08695652173913043,0.08695652173913043
06001404200,0.0,1.0,0.0,0.0,0.0
06001404300,0.0,1.0,0.0,0.0,0.0
06001404400,0.0,0.0,1.0,0.0,0.0
06001404501,,,,,
06001404502,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
06001404800,0.0,0.3684210526315789,0.5789473684210527,0.05263157894736842,0.0
06001404900,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,0.0
06001405000,0.16666666666666666,0.75,0.08333333333333333,0.0,0.0
06001405100,,,,,
06001405200,0.04,0.68,0.24,0.04,0.0
06001405301,0.05555555555555555,0.5370370370370371,0.3333333333333333,0.07407407407407407,0.0
06001405302,0.05405405405405406,0.7297297297297297,0.10810810810810811,0.05405405405405406,0.05405405405405406
06001405401,0.0,0.7166666666666667,0.23333333333333334,0.05,0.0
06001405402,0.0,0.45,0.5,0.05,0.0
06001405500,0.0196078431372549,0.6862745098039216,0.21568627450980393,0.0784313725490196,0.0
06001405600,0.05555555555555555,0.6666666666666666,0.2222222222222222,0.027777777777777776,0.027777777777777776
06001405700,0.0,0.6,0.25,0.15,0.0
06001405800,0.14285714285714285,0.35714285714285715,0.42857142857142855,0.07142857142857142,0.0
06001405901,0.0,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.0
06001405902,0.0,0.75,0.16666666666666666,0.08333333333333333,0.0
06001406000,0.058823529411764705,0.6764705882352942,0.14705882352941177,0.11764705882352941,0.0
06001406100,0.0,0.8095238095238095,0.0,0.19047619047619047,0.0
06001406201,0.09090909090909091,0.6363636363636364,0.21212121212121213,0.06060606060606061,0.0
06001406202,0.02631578947368421,0.631578947368421,0.3157894736842105,0.02631578947368421,0.0
06001406300,0.08333333333333333,0.5,0.4166666666666667,0.0,0.0
06001406400,0.25,0.75,0.0,0.0,0.0
06001406500,0.0,0.5294117647058824,0.4411764705882353,0.0,0.029411764705882353
06001406601,0.0,0.5,0.47368421052631576,0.02631578947368421,0.0
06001406602,0.043478260869565216,0.43478260869565216,0.5217391304347826,0.0,0.0
06001406700,0.0,0.6363636363636364,0.2727272727272727,0.0,0.09090909090909091
06001406800,0.0,0.8,0.2,0.0,0.0
06001406900,0.0,0.4090909090909091,0.5454545454545454,0.045454545454545456,0.0
06001407000,0.041666666666666664,0.7083333333333334,0.25,0.0,0.0
06001407101,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
06001407102,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0
06001407200,0.11764705882352941,0.6666666666666666,0.17647058823529413,0.0392156862745098,0.0
06001407300,0.0,1.0,0.0,0.0,0.0
06001407400,0.14285714285714285,0.6190476190476191,0.14285714285714285,0.09523809523809523,0.0
06001407500,0.14285714285714285,0.5357142857142857,0.2857142857142857,0.03571428571428571,0.0
06001407600,0.0,0.4782608695652174,0.391304347826087,0.13043478260869565,0.0
06001407700,0.2,0.2,0.4,0.2,0.0
06001407800,0.2,0.8,0.0,0.0,0.0
06001407900,0.0,0.6,0.4,0.0,0.0
06001408100,0.0,1.0,0.0,0.0,0.0
06001408200,0.0,0.3333333333333333,0.5714285714285714,0.09523809523809523,0.0
06001408300,0.0,0.18181818181818182,0.8181818181818182,0.0,0.0
06001408400,0.0,0.625,0.375,0.0,0.0
06001408500,0.0,0.5,0.5,0.0,0.0
06001408600,0.07142857142857142,0.6428571428571429,0.2857142857142857,0.0,0.0
06001408700,0.04,0.4,0.48,0.08,0.0
06001408800,0.0,1.0,0.0,0.0,0.0
06001408900,0.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.0
06001409000,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
06001409100,0.0,0.0,1.0,0.0,0.0
06001409200,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
06001409300,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.0,0.0
06001409400,0.2,0.7,0.1,0.0,0.0
06001409500,0.0,0.8,0.2,0.0,0.0
06001409600,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285
06001409700,0.038461538461538464,0.38461538461538464,0.5769230769230769,0.0,0.0
06001409800,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
06001409900,0.0,0.5,0.5,0.0,0.0
06001410000,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
06001410100,0.125,0.125,0.625,0.125,0.0
06001410200,0.05,0.3,0.5,0.15,0.0
06001410300,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0
06001410400,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
06001410500,0.25,0.5,0.0,0.25,0.0
06001420100,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0
06001420200,0.0,0.4090909090909091,0.5909090909090909,0.0,0.0
06001420300,0.1,0.3,0.6,0.0,0.0
06001420500,0.125,0.375,0.5,0.0,0.0
06001420600,0.25,0.25,0.5,0.0,0.0
06001421200,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
06001421300,0.0,1.0,0.0,0.0,0.0
06001421400,0.0,1.0,0.0,0.0,0.0
06001421500,0.0,1.0,0.0,0.0,0.0
06001421600,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.0
06001421700,0.0,0.75,0.25,0.0,0.0
06001421800,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.0
06001421900,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0
06001422000,0.0,0.4,0.2,0.4,0.0
06001422100,0.0,0.5,0.4444444444444444,0.0,0.05555555555555555
06001422200,0.13636363636363635,0.7727272727272727,0.09090909090909091,0.0,0.0
06001422300,0.0,0.6363636363636364,0.36363636363636365,0.0,0.0
06001422400,0.07692307692307693,0.6,0.3230769230769231,0.0,0.0
06001422500,0.043478260869565216,0.9130434782608695,0.043478260869565216,0.0,0.0
06001422600,1.0,0.0,0.0,0.0,0.0
06001422700,0.03225806451612903,0.8064516129032258,0.12903225806451613,0.03225806451612903,0.0
06001422800,0.0425531914893617,0.7872340425531915,0.06382978723404255,0.06382978723404255,0.0425531914893617
06001422900,0.06666666666666667,0.5555555555555556,0.26666666666666666,0.1111111111111111,0.0
06001423000,0.023809523809523808,0.6666666666666666,0.2857142857142857,0.023809523809523808,0.0
06001423100,0.0,0.68,0.32,0.0,0.0
06001423200,0.07407407407407407,0.48148148148148145,0.4444444444444444,0.0,0.0
06001423300,0.07142857142857142,0.6785714285714286,0.25,0.0,0.0
06001423400,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0
06001423500,0.0,0.7096774193548387,0.22580645161290322,0.06451612903225806,0.0
06001423601,0.05555555555555555,0.9166666666666666,0.027777777777777776,0.0,0.0
06001423602,0.06329113924050633,0.6329113924050633,0.2911392405063291,0.012658227848101266,0.0
06001423700,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0
06001423800,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.0,0.0
06001423901,0.0,0.631578947368421,0.3684210526315789,0.0,0.0
06001423902,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.0,0.0
06001424001,0.08163265306122448,0.5714285714285714,0.32653061224489793,0.02040816326530612,0.0
06001424002,0.0,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0
06001425102,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0
06001425103,0.0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0
06001425104,0.047619047619047616,0.7142857142857143,0.14285714285714285,0.09523809523809523,0.0
06001426100,0.0,1.0,0.0,0.0,0.0
06001426200,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
06001427100,0.0,0.5,0.25,0.25,0.0
06001427200,0.0,0.7,0.3,0.0,0.0
06001427300,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
06001427600,0.0,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.0
06001427700,0.058823529411764705,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.0
06001428000,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0
06001428100,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.0,0.0
06001428200,0.043478260869565216,0.5652173913043478,0.34782608695652173,0.043478260869565216,0.0
06001428301,,,,,
06001428400,0.041666666666666664,0.5833333333333334,0.3333333333333333,0.041666666666666664,0.0
06001428700,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
06001430101,0.0,0.0,1.0,0.0,0.0
06001430200,1.0,0.0,0.0,0.0,0.0
06001430500,0.0,0.5,0.5,0.0,0.0
06001430700,0.0,0.5,0.5,0.0,0.0
06001430800,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
06001430900,0.023809523809523808,0.3333333333333333,0.5714285714285714,0.07142857142857142,0.0
06001431000,0.058823529411764705,0.6470588235294118,0.17647058823529413,0.11764705882352941,0.0
06001431100,0.0,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.0
06001431200,0.0,0.4,0.6,0.0,0.0
06001432100,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0
06001432200,0.0,0.5,0.42857142857142855,0.07142857142857142,0.0
06001432300,0.3,0.4,0.3,0.0,0.0
06001432400,0.0,0.6875,0.25,0.0625,0.0
06001432501,0.0,0.75,0.25,0.0,0.0
06001432502,0.0,0.0,1.0,0.0,0.0
06001432600,0.0,0.48484848484848486,0.5151515151515151,0.0,0.0
06001432700,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
06001432800,0.0,1.0,0.0,0.0,0.0
06001433000,0.0,0.0,1.0,0.0,0.0
06001433102,0.0,0.0,1.0,0.0,0.0
06001433103,0.0,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0
06001433104,0.0,0.6,0.4,0.0,0.0
06001433200,0.0,0.0,1.0,0.0,0.0
06001433300,0.0,0.0,1.0,0.0,0.0
06001433400,,,,,
06001433600,0.2,0.2,0.6,0.0,0.0
06001433700,0.0,0.23529411764705882,0.7647058823529411,0.0,0.0
06001433800,0.05,0.45,0.5,0.0,0.0
06001433900,0.0,0.39285714285714285,0.6071428571428571,0.0,0.0
06001434000,0.125,0.375,0.375,0.125,0.0
06001435102,0.0,0.0,0.5,0.5,0.0
06001435104,0.0,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0
06001435200,,,,,
