dac,<60,60,90,150,>150
Total,0.050844821946602746,0.49431333751588563,0.36930328330357287,0.0743260996627147,0.01121245757122404
Non-DAC,0.04719766479035806,0.4983564874833767,0.3715676516589858,0.07428843853765024,0.008589757529629228
DAC,0.05736014821898159,0.4870906048290701,0.3652581879034186,0.07439337795840306,0.015897681090126705
