panel_size_class,count,pct,TotalNoOfUnits,pct_units
150,13861,7.432609966271469,285536.0,17.400970187455815
60,92184,49.43133375158856,616386.0,37.563440021451385
61 - 89,0,0.0,0.0,0.0
90,68871,36.930328330357284,613798.0,37.405723618457934
91 - 149,0,0.0,0.0,0.0
<60,9482,5.084482194660275,55673.0,3.3927918484752455
>150,2091,1.1212457571224042,69527.0,4.237074324159618
