panel_size_class,dac,count,pct
150,No,15241,5.302766721407298
150,Yes,12431,5.678874732182422
60,No,168141,58.50091852923984
60,Yes,128882,58.87738180622113
61 - 89,No,0,0.0
61 - 89,Yes,0,0.0
90,No,79483,27.65434074651376
90,Yes,43766,19.99369572268489
91 - 149,No,0,0.0
91 - 149,Yes,0,0.0
<60,No,22071,7.679113201770256
<60,Yes,30918,14.124322175980703
>150,No,2480,0.862860801068834
>150,Yes,2902,1.3257255629308493
