bzone,<60,60,61 - 89,90,91 - 149,150,>150
1,0.08611481975967958,0.5393858477970628,0.0,0.3027369826435247,0.0,0.06875834445927904,0.0030040053404539386
10,0.0717217119405902,0.4806201550387597,0.0,0.3856426291446811,0.0,0.05797667904371051,0.004038824832258485
11,0.06156025277838309,0.43190237524515146,0.0,0.4116365221181085,0.0,0.08977990847679233,0.005120941381564611
12,0.06796762390508926,0.5110987914402927,0.0,0.3523450493402816,0.0,0.06495176848874598,0.0036367668255904203
13,0.10765068579338115,0.43267899836416257,0.0,0.3924751478545363,0.0,0.06574808103686926,0.001447086951050711
14,0.04604242110708743,0.30212105535437145,0.0,0.5799275737196068,0.0,0.07087428867046043,0.0010346611484738748
15,0.049019607843137254,0.3766603415559772,0.0,0.5082226438962681,0.0,0.06546489563567362,0.0006325110689437065
16,0.07296137339055794,0.4796768492804847,0.0,0.4054531683918203,0.0,0.038879070941681394,0.003029537995455693
2,0.06563706563706563,0.5466368624263361,0.0,0.3280837228205649,0.0,0.055171713066449905,0.004470636049583418
3,0.08322192930946164,0.7084046527317932,0.0,0.16175864266170242,0.0,0.04254176089156536,0.0040730144054773295
4,0.0322125558429344,0.5596990359746061,0.0,0.3627086762285446,0.0,0.042887373618622146,0.0024923583352927346
5,0.06994199931763903,0.5479358580689184,0.0,0.3309450699419993,0.0,0.05083589218696691,0.000341180484476288
6,0.09817402871110957,0.612054520013129,0.0,0.25026344429664693,0.0,0.03232159206730354,0.007186414911810942
7,0.12626675384112454,0.510706113108859,0.0,0.2642203334423014,0.0,0.08176691729323309,0.017039882314481856
8,0.15050649672203503,0.6060090641921351,0.0,0.1794968404508413,0.0,0.05324405498799694,0.0107435436469917
9,0.12658589355257463,0.6013587191691908,0.0,0.18567719601903937,0.0,0.062128948507139764,0.024249242752055387
