tract_geoid_2019,<100,100,101 - 199,200,>200
06001400100,0.003762227238525207,0.14221218961625282,0.28818660647103084,0.43190368698269377,0.13393528969149737
06001400200,0.013257575757575758,0.10795454545454546,0.08333333333333333,0.7670454545454546,0.028409090909090908
06001400300,0.012411347517730497,0.12056737588652482,0.10017730496453901,0.7570921985815603,0.00975177304964539
06001400400,0.010309278350515464,0.1211340206185567,0.09149484536082474,0.7628865979381443,0.014175257731958763
06001400500,0.013245033112582781,0.11092715231788079,0.09271523178807947,0.7715231788079471,0.011589403973509934
06001400600,0.01,0.13,0.11666666666666667,0.74,0.0033333333333333335
06001400700,0.010540184453227932,0.155467720685112,0.08563899868247694,0.7404479578392622,0.007905138339920948
06001400800,0.024489795918367346,0.1510204081632653,0.09387755102040816,0.7081632653061225,0.022448979591836733
06001400900,0.016166281755196306,0.15704387990762125,0.09468822170900693,0.7205542725173211,0.011547344110854504
06001401000,0.02854006586169045,0.1437980241492865,0.09549945115257959,0.7178924259055982,0.014270032930845226
06001401100,0.0,0.14114114114114115,0.08108108108108109,0.7717717717717718,0.006006006006006006
06001401200,0.011235955056179775,0.1258426966292135,0.0898876404494382,0.7685393258426966,0.0044943820224719105
06001401300,0.0,0.23529411764705882,0.09803921568627451,0.5098039215686274,0.1568627450980392
06001401400,0.023952095808383235,0.1437125748502994,0.10479041916167664,0.7005988023952096,0.02694610778443114
06001401500,0.02112676056338028,0.11619718309859155,0.0880281690140845,0.7605633802816901,0.014084507042253521
06001401600,0.010471204188481676,0.18848167539267016,0.09424083769633508,0.6858638743455497,0.020942408376963352
06001401700,0.005633802816901409,0.4112676056338028,0.0647887323943662,0.4676056338028169,0.05070422535211268
06001401800,0.005405405405405406,0.21081081081081082,0.10810810810810811,0.6216216216216216,0.05405405405405406
06001402200,0.008130081300813009,0.22357723577235772,0.07723577235772358,0.6626016260162602,0.028455284552845527
06001402400,0.005681818181818182,0.2727272727272727,0.11363636363636363,0.5852272727272727,0.022727272727272728
06001402500,0.02,0.39,0.03,0.53,0.03
06001402600,0.0,0.09090909090909091,0.22727272727272727,0.45454545454545453,0.22727272727272727
06001402700,0.022900763358778626,0.2595419847328244,0.07633587786259542,0.5954198473282443,0.04580152671755725
06001402800,0.0,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.47058823529411764
06001402900,0.0,0.0,0.0,0.0,1.0
06001403000,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333
06001403100,0.0,0.0,0.0,0.6,0.4
06001403300,0.0,0.1836734693877551,0.08163265306122448,0.673469387755102,0.061224489795918366
06001403400,0.0,0.0,0.0,0.4,0.6
06001403501,0.01775147928994083,0.11242603550295859,0.1301775147928994,0.6923076923076923,0.047337278106508875
06001403502,0.013333333333333334,0.04,0.09333333333333334,0.84,0.013333333333333334
06001403600,0.0,0.07407407407407407,0.05925925925925926,0.8148148148148148,0.05185185185185185
06001403701,0.0,0.0,0.25,0.75,0.0
06001403702,0.0,0.12,0.08,0.72,0.08
06001403800,0.014705882352941176,0.10110294117647059,0.08639705882352941,0.7904411764705882,0.007352941176470588
06001403900,0.009554140127388535,0.11464968152866242,0.08917197452229299,0.7707006369426752,0.01592356687898089
06001404000,0.015957446808510637,0.19680851063829788,0.05851063829787234,0.7127659574468085,0.015957446808510637
06001404101,0.010917030567685589,0.12663755458515283,0.0982532751091703,0.7336244541484717,0.03056768558951965
06001404102,0.0,0.16216216216216217,0.18018018018018017,0.6576576576576577,0.0
06001404200,0.01957446808510638,0.11574468085106383,0.13702127659574467,0.6595744680851063,0.06808510638297872
06001404300,0.0136986301369863,0.06335616438356165,0.2011986301369863,0.6198630136986302,0.10188356164383562
06001404400,0.011808910359634998,0.10896403650026838,0.2055823939881911,0.5689747718733226,0.10466988727858294
06001404501,0.012441679626749611,0.1088646967340591,0.07465007776049767,0.713841368584759,0.09020217729393468
06001404502,0.0156794425087108,0.12717770034843207,0.10627177700348432,0.6367595818815331,0.11411149825783973
06001404600,0.014436424208772903,0.15880066629650194,0.10771793448084398,0.6107717934480844,0.10827318156579678
06001404700,0.01653944020356234,0.12849872773536897,0.08396946564885496,0.727735368956743,0.043256997455470736
06001404800,0.014950166112956811,0.1079734219269103,0.09966777408637874,0.7508305647840532,0.026578073089700997
06001404900,0.021257750221434897,0.141718334809566,0.0841452612931798,0.7484499557130204,0.0044286979627989375
06001405000,0.01687289088863892,0.1327334083239595,0.10911136107986502,0.7266591676040495,0.014623172103487065
06001405100,0.018506700701978303,0.1001914486279515,0.0778557753669432,0.7581365666879387,0.04530950861518826
06001405200,0.03005008347245409,0.15025041736227046,0.09849749582637729,0.6961602671118531,0.025041736227045076
06001405301,0.046875,0.140625,0.125,0.6875,0.0
06001405302,0.0,0.1,0.075,0.8,0.025
06001405401,0.03184713375796178,0.16560509554140126,0.08917197452229299,0.7070063694267515,0.006369426751592357
06001405402,0.007246376811594203,0.18115942028985507,0.07971014492753623,0.6956521739130435,0.036231884057971016
06001405500,0.019417475728155338,0.1553398058252427,0.15210355987055016,0.656957928802589,0.016181229773462782
06001405600,0.021739130434782608,0.17080745341614906,0.08695652173913043,0.717391304347826,0.003105590062111801
06001405700,0.0234192037470726,0.13114754098360656,0.08899297423887588,0.7564402810304449,0.0
06001405800,0.02333931777378815,0.1310592459605027,0.10951526032315978,0.7289048473967684,0.00718132854578097
06001405901,0.02476780185758514,0.12693498452012383,0.10835913312693499,0.7275541795665634,0.01238390092879257
06001405902,0.043478260869565216,0.16770186335403728,0.11180124223602485,0.6677018633540373,0.009316770186335404
06001406000,0.025423728813559324,0.211864406779661,0.0423728813559322,0.652542372881356,0.06779661016949153
