dac,<100,100,101 - 199,200,>200
Total,0.030096418095447382,0.31696107378545757,0.14819425496935026,0.38925261507858183,0.11549563807116295
Non-DAC,0.0184233872583634,0.30180945030739614,0.16267157597708312,0.3909061450213429,0.12618944143581437
DAC,0.07667779417532478,0.3774238174638241,0.09042232376294064,0.3826541830862328,0.07282188151167768
