kind,<100,100,101 - 199,200,>200
Direct,0.0458269432561143,0.22721769311485995,0.09615384615384616,0.6308015174751795,0.0
Direct (DAC),0.03159783245459871,0.22590802577621558,0.06751611013473931,0.6749780316344464,0.0
Direct (non-DAC),0.051239554317548744,0.2277158774373259,0.10704735376044568,0.6139972144846797,0.0
Indirect,0.0,0.0,0.0,1.0,0.0
Inferred,0.0,0.0023931797550958223,0.0015044657876862333,0.996102354457218,0.0
