dac,<100,100,101 - 199,200,>200
Total,0.030030258157734406,0.31711645986046194,0.14833403337637643,0.3891615933688682,0.11535765523655907
Non-DAC,0.018356712208374388,0.30206682290968534,0.16281373547485764,0.39070076513938196,0.12606196426770067
DAC,0.07661368979961523,0.3771722250215232,0.09055260039744713,0.3830195090983409,0.07264197568307348
