bzone,<60,60,90,150,>150
1,0.06005895357406043,0.5324244657332351,0.3212969786293294,0.08106116433308769,0.005158437730287398
10,0.03496323055089666,0.38678880144497485,0.4746484324603277,0.0984389111082441,0.005160624435556703
11,0.04141519250780437,0.3517169614984391,0.4736732570239334,0.12778355879292405,0.005411030176899064
12,0.05151840393964265,0.41795567902014014,0.43487593913757183,0.09173558936801565,0.003914388534629712
13,0.06362237044638276,0.4143150333504361,0.418163160595177,0.10107747562852745,0.0028219599794766545
14,0.024464831804281346,0.22247706422018348,0.595565749235474,0.1551987767584098,0.0022935779816513763
15,0.02974186307519641,0.32379349046015715,0.5549943883277216,0.09090909090909091,0.0005611672278338945
16,0.045278137128072445,0.4890038809831824,0.425614489003881,0.03816300129366106,0.0019404915912031048
2,0.07129555732907689,0.5397712157488693,0.3312051077414206,0.053737696195796755,0.0039904229848363925
3,0.05737704918032787,0.6488135339471517,0.22026349277640542,0.06856800658731942,0.004977917508795568
4,0.017965344955883915,0.4864462634208568,0.42245136600403954,0.0687785691506325,0.004358456468587222
5,0.07483443708609272,0.580794701986755,0.2860927152317881,0.056291390728476824,0.001986754966887417
6,0.04005952620359571,0.5232272855246752,0.3889715641716607,0.04150746088565338,0.0062341632144149945
7,0.11142149704780649,0.5192686178655324,0.25953907688400735,0.09116881467843312,0.018601993524220685
8,0.042729050588539166,0.5005719346149589,0.4070329508136231,0.04055200915095384,0.009114054831925022
9,0.04340567612687813,0.4404430664864722,0.391499059278692,0.0969870418952222,0.027665156212735513
