county_air_basin_district_id,<60,60,90,150,>150
0,0.023521505376344086,0.3118279569892473,0.5638440860215054,0.10013440860215053,0.0006720430107526882
8,0.10286817429674573,0.5130722559293988,0.2825703254274683,0.08510755653612796,0.016381687810259237
9,0.03278688524590164,0.39344262295081966,0.5245901639344263,0.04918032786885246,0.0
11,0.028027054506874143,0.5337960302373901,0.4157199062817736,0.02126342778833827,0.0011935811856239778
16,0.028723719277465205,0.37755404204915605,0.4675747705063666,0.1163754811963281,0.009771986970684038
19,0.08450704225352113,0.36619718309859156,0.5211267605633803,0.028169014084507043,0.0
20,0.035698545614808286,0.31864257382106653,0.5231379462318202,0.12119876597620097,0.0013221683561040105
21,0.04761977464960762,0.46386149195395276,0.38793550948120553,0.07905584903355828,0.021527374881675776
22,0.007957559681697613,0.16445623342175067,0.6127320954907162,0.20954907161803712,0.005305039787798408
23,0.020100502512562814,0.385929648241206,0.457286432160804,0.12864321608040202,0.008040201005025126
24,0.032454361054766734,0.552738336713996,0.385395537525355,0.02738336713995943,0.002028397565922921
25,0.07550158394931362,0.4324181626187962,0.3885955649419219,0.1003167898627244,0.0031678986272439284
26,0.08790482485128882,0.6232650363516193,0.2267019167217449,0.059484467944481166,0.0026437541308658294
27,0.02922077922077922,0.2662337662337662,0.6006493506493507,0.1038961038961039,0.0
28,0.027820710973724884,0.2009273570324575,0.6089644513137558,0.160741885625966,0.0015455950540958269
29,0.006872852233676976,0.3333333333333333,0.5395189003436426,0.12027491408934708,0.0
30,0.0234009360374415,0.38533541341653665,0.46333853354134164,0.12168486739469579,0.0062402496099844
31,0.08192281651997292,0.5487474610697359,0.32870683818551116,0.03994583615436696,0.0006770480704129993
32,0.03125,0.375,0.46875,0.125,0.0
33,0.07908163265306123,0.6466836734693877,0.24489795918367346,0.029336734693877552,0.0
34,0.0449438202247191,0.550561797752809,0.34831460674157305,0.0449438202247191,0.011235955056179775
36,0.01459188326493388,0.4830141358869129,0.43011855905152757,0.06782945736434108,0.004445964432284542
37,0.08743169398907104,0.5027322404371585,0.3825136612021858,0.0273224043715847,0.0
38,0.10396039603960396,0.4698844884488449,0.3572607260726073,0.06806930693069307,0.0008250825082508251
40,0.06248468512619456,0.5550110267091399,0.3508943886302377,0.027689291840235237,0.0039206076941926
41,0.08129175946547884,0.4042316258351893,0.41648106904231624,0.09688195991091314,0.0011135857461024498
44,0.033783783783783786,0.6486486486486487,0.22972972972972974,0.08783783783783784,0.0
45,0.051021251963946086,0.7174398412304639,0.12048292400562309,0.1046886628628132,0.006367319937153725
47,,,,,
52,0.0,1.0,0.0,0.0,0.0
