kind,<60,60,90,150,>150
Direct,0.07225853304284677,0.03691600096828855,0.3006535947712418,0.06390704429920116,0.5262648269184217
Direct (DAC),0.06046931407942238,0.040388086642599276,0.30708483754512633,0.06926895306859206,0.5227888086642599
Direct (non-DAC),0.08590078328981723,0.03289817232375979,0.29321148825065274,0.0577023498694517,0.5302872062663185
Indirect,0.0,0.0,0.0,0.9425529280673517,0.05744707193264826
Inferred,0.0,0.2791848617176128,0.11974769529354683,0.5729257641921397,0.028141678796700632
