tract_geoid_2019,<100,100,101 - 199,200,>200
06001400100,0.06320541760722348,0.27840481565086533,0.5237020316027088,0.07900677200902935,0.05568096313017306
06001400200,0.8787878787878788,0.09848484848484848,0.022727272727272728,0.0,0.0
06001400300,0.9636524822695035,0.025709219858156027,0.0035460992907801418,0.0017730496453900709,0.005319148936170213
06001400400,0.9471649484536082,0.03221649484536082,0.002577319587628866,0.015463917525773196,0.002577319587628866
06001400500,0.9784768211920529,0.014900662251655629,0.0,0.004966887417218543,0.0016556291390728477
06001400600,0.9665551839464883,0.026755852842809364,0.0033444816053511705,0.0,0.0033444816053511705
06001400700,0.9051383399209486,0.08300395256916997,0.0,0.00922266139657444,0.002635046113306983
06001400800,0.918200408997955,0.05521472392638037,0.002044989775051125,0.012269938650306749,0.012269938650306749
06001400900,0.9237875288683602,0.06235565819861432,0.004618937644341801,0.006928406466512702,0.0023094688221709007
06001401000,0.9275521405049396,0.04939626783754116,0.003293084522502744,0.012074643249176729,0.007683863885839737
06001401100,0.963855421686747,0.018072289156626505,0.006024096385542169,0.009036144578313253,0.0030120481927710845
06001401200,0.9685393258426966,0.015730337078651686,0.008988764044943821,0.006741573033707865,0.0
06001401300,0.6274509803921569,0.19607843137254902,0.0392156862745098,0.0,0.13725490196078433
06001401400,0.874251497005988,0.0748502994011976,0.011976047904191617,0.014970059880239521,0.023952095808383235
06001401500,0.9330985915492958,0.02464788732394366,0.017605633802816902,0.014084507042253521,0.01056338028169014
06001401600,0.8263157894736842,0.12631578947368421,0.010526315789473684,0.015789473684210527,0.021052631578947368
06001401700,0.49014084507042255,0.37183098591549296,0.011267605633802818,0.09014084507042254,0.036619718309859155
06001401800,0.8,0.10270270270270271,0.02702702702702703,0.03783783783783784,0.032432432432432434
06001402200,0.7966804979253111,0.14107883817427386,0.016597510373443983,0.024896265560165973,0.02074688796680498
06001402400,0.6704545454545454,0.23863636363636365,0.05113636363636364,0.022727272727272728,0.017045454545454544
06001402500,0.18,0.78,0.02,0.0,0.02
06001402600,0.5909090909090909,0.045454545454545456,0.13636363636363635,0.0,0.22727272727272727
06001402700,0.6538461538461539,0.2230769230769231,0.03076923076923077,0.06923076923076923,0.023076923076923078
06001402800,0.5,0.0,0.0,0.0,0.5
06001402900,0.0,0.0,0.0,0.0,1.0
06001403000,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666
06001403100,0.4,0.2,0.0,0.0,0.4
06001403300,0.8571428571428571,0.061224489795918366,0.02040816326530612,0.02040816326530612,0.04081632653061224
06001403400,0.2,0.2,0.0,0.0,0.6
06001403501,0.9230769230769231,0.04142011834319527,0.005917159763313609,0.0,0.029585798816568046
06001403502,0.9466666666666667,0.04,0.013333333333333334,0.0,0.0
06001403600,0.7555555555555555,0.17777777777777778,0.06666666666666667,0.0,0.0
06001403701,0.625,0.375,0.0,0.0,0.0
06001403702,0.72,0.24,0.04,0.0,0.0
06001403800,0.9246323529411765,0.0661764705882353,0.009191176470588236,0.0,0.0
06001403900,0.89171974522293,0.0732484076433121,0.012738853503184714,0.01910828025477707,0.0031847133757961785
06001404000,0.8404255319148937,0.14893617021276595,0.005319148936170213,0.005319148936170213,0.0
06001404101,0.9388646288209607,0.026200873362445413,0.004366812227074236,0.004366812227074236,0.026200873362445413
06001404102,0.9819819819819819,0.018018018018018018,0.0,0.0,0.0
06001404200,0.5234042553191489,0.2451063829787234,0.20170212765957446,0.015319148936170212,0.01446808510638298
06001404300,0.4212328767123288,0.14897260273972604,0.3373287671232877,0.059931506849315065,0.032534246575342464
06001404400,0.35426731078904994,0.2082662372517445,0.35050993022007515,0.04938271604938271,0.03757380568974772
06001404501,0.38724727838258166,0.4385692068429238,0.13996889580093314,0.01866251944012442,0.015552099533437015
06001404502,0.3118466898954704,0.5104529616724739,0.1437282229965157,0.014372822299651568,0.0195993031358885
06001404600,0.25485841199333703,0.5535813436979455,0.17434758467518047,0.009439200444197668,0.007773459189339256
06001404700,0.6208651399491094,0.3104325699745547,0.05979643765903308,0.006361323155216285,0.002544529262086514
06001404800,0.8853820598006644,0.09634551495016612,0.009966777408637873,0.0,0.008305647840531562
06001404900,0.9778565101860053,0.01948627103631532,0.001771479185119575,0.0,0.0008857395925597874
06001405000,0.9222972972972973,0.059684684684684686,0.015765765765765764,0.0,0.0022522522522522522
06001405100,0.7874920229738354,0.17358008934269303,0.037013401403956606,0.0006381620931716656,0.0012763241863433313
06001405200,0.9031719532554258,0.08013355592654424,0.015025041736227046,0.0,0.001669449081803005
06001405301,0.984375,0.015625,0.0,0.0,0.0
06001405302,0.875,0.05,0.05,0.0,0.025
06001405401,0.9617834394904459,0.03821656050955414,0.0,0.0,0.0
06001405402,0.8740740740740741,0.06666666666666667,0.037037037037037035,0.0,0.022222222222222223
06001405500,0.948051948051948,0.03571428571428571,0.00974025974025974,0.003246753246753247,0.003246753246753247
06001405600,0.9658385093167702,0.027950310559006212,0.006211180124223602,0.0,0.0
06001405700,0.9742388758782201,0.02107728337236534,0.00468384074941452,0.0,0.0
06001405800,0.9587073608617595,0.03052064631956912,0.005385996409335727,0.0017953321364452424,0.003590664272890485
06001405901,0.937888198757764,0.037267080745341616,0.012422360248447204,0.0,0.012422360248447204
06001405902,0.9254658385093167,0.049689440993788817,0.018633540372670808,0.0,0.006211180124223602
06001406000,0.811965811965812,0.1111111111111111,0.017094017094017096,0.02564102564102564,0.03418803418803419
06001406100,0.8228571428571428,0.16,0.005714285714285714,0.0,0.011428571428571429
06001406201,0.9546827794561934,0.030211480362537766,0.00906344410876133,0.0030211480362537764,0.0030211480362537764
06001406202,0.9276595744680851,0.0425531914893617,0.00851063829787234,0.0,0.02127659574468085
06001406300,0.900749063670412,0.07116104868913857,0.018726591760299626,0.0056179775280898875,0.003745318352059925
06001406400,0.9776674937965261,0.01488833746898263,0.007444168734491315,0.0,0.0
06001406500,0.9761570827489481,0.015427769985974754,0.0070126227208976155,0.0,0.001402524544179523
06001406601,0.9770580296896086,0.01349527665317139,0.005398110661268556,0.002699055330634278,0.001349527665317139
06001406602,0.9636363636363636,0.025454545454545455,0.0036363636363636364,0.0,0.007272727272727273
06001406700,0.8157736303431667,0.1493076459963877,0.031306441902468396,0.0012040939193257074,0.002408187838651415
06001406800,0.8283858998144712,0.1391465677179963,0.027829313543599257,0.0027829313543599257,0.0018552875695732839
06001406900,0.8189944134078212,0.15754189944134078,0.02011173184357542,0.0011173184357541898,0.0022346368715083797
06001407000,0.9744376278118609,0.019427402862985686,0.006134969325153374,0.0,0.0
06001407101,0.9544235924932976,0.02680965147453083,0.00804289544235925,0.005361930294906166,0.005361930294906166
06001407102,0.9928656361474435,0.0047562425683709865,0.0023781212841854932,0.0,0.0
06001407200,0.9542961608775137,0.029250457038391225,0.010968921389396709,0.0018281535648994515,0.003656307129798903
06001407300,0.9692307692307692,0.012307692307692308,0.018461538461538463,0.0,0.0
06001407400,0.9689578713968958,0.026607538802660754,0.0022172949002217295,0.0,0.0022172949002217295
06001407500,0.9723991507430998,0.012738853503184714,0.012738853503184714,0.0,0.0021231422505307855
06001407600,0.9715808170515098,0.02575488454706927,0.0,0.0008880994671403197,0.0017761989342806395
06001407700,0.9871712636305324,0.010904425914047467,0.001924310455420141,0.0,0.0
06001407800,0.8703703703703703,0.10942760942760943,0.015151515151515152,0.0016835016835016834,0.003367003367003367
06001407900,0.7689873417721519,0.20464135021097046,0.02109704641350211,0.0010548523206751054,0.004219409282700422
06001408000,0.09743589743589744,0.7076923076923077,0.16307692307692306,0.015384615384615385,0.01641025641025641
06001408100,0.08280254777070063,0.5414012738853503,0.27388535031847133,0.02253797158255757,0.07937285644292014
06001408200,0.8490967056323061,0.12964930924548354,0.01700318809776833,0.0010626992561105207,0.003188097768331562
06001408300,0.8174273858921162,0.1479944674965422,0.027662517289073305,0.0013831258644536654,0.005532503457814661
06001408400,0.9812332439678284,0.014745308310991957,0.0013404825737265416,0.002680965147453083,0.0
06001408500,0.9533980582524272,0.04563106796116505,0.000970873786407767,0.0,0.0
06001408600,0.9818331957060281,0.016515276630883566,0.0,0.0,0.0016515276630883566
06001408700,0.9710860366713682,0.018335684062059238,0.004231311706629055,0.0014104372355430183,0.004936530324400564
06001408800,0.9578651685393258,0.0351123595505618,0.0,0.007022471910112359,0.0
06001408900,0.9170305676855895,0.07641921397379912,0.002183406113537118,0.004366812227074236,0.0
06001409000,0.9311551925320887,0.044340723453908985,0.007001166861143524,0.015169194865810968,0.002333722287047841
06001409100,0.9444444444444444,0.04513888888888889,0.010416666666666666,0.0,0.0
06001409200,0.8064066852367688,0.19080779944289694,0.0,0.002785515320334262,0.0
06001409300,0.9227053140096618,0.06642512077294686,0.0012077294685990338,0.004830917874396135,0.004830917874396135
06001409400,0.7205128205128205,0.2230769230769231,0.0038461538461538464,0.052564102564102565,0.0
06001409500,0.8657587548638133,0.08171206225680934,0.005836575875486381,0.04669260700389105,0.0
06001409600,0.969097651421508,0.02843016069221261,0.0012360939431396785,0.0012360939431396785,0.0
06001409700,0.8615179760319573,0.13315579227696406,0.005326231691078562,0.0,0.0
06001409800,0.6340150699677072,0.3240043057050592,0.02691065662002153,0.002152852529601722,0.012917115177610334
06001409900,0.13801079414032383,0.7555898226676947,0.09714726291441789,0.006168080185042405,0.0030840400925212026
06001410000,0.3357079252003562,0.5512021371326803,0.09617097061442564,0.01068566340160285,0.006233303650934996
06001410100,0.7789904502046384,0.20054570259208732,0.01227830832196453,0.005457025920873124,0.002728512960436562
06001410200,0.8668515950069348,0.1262135922330097,0.005547850208044383,0.0,0.0013869625520110957
06001410300,0.9382239382239382,0.05791505791505792,0.0019305019305019305,0.0,0.0019305019305019305
06001410400,0.8985042735042735,0.08012820512820513,0.019230769230769232,0.0,0.002136752136752137
06001410500,0.625,0.23076923076923078,0.04807692307692308,0.057692307692307696,0.038461538461538464
06001420100,0.9641485275288092,0.03585147247119078,0.0,0.0,0.0
06001420200,0.9408602150537635,0.04838709677419355,0.0017921146953405018,0.005376344086021506,0.0035842293906810036
06001420300,0.7691154422788605,0.1679160419790105,0.053973013493253376,0.0029985007496251873,0.005997001499250375
06001420500,0.9568221070811744,0.02936096718480138,0.0051813471502590676,0.0034542314335060447,0.0051813471502590676
06001420600,0.9471830985915493,0.04401408450704225,0.007922535211267605,0.0,0.0008802816901408451
06001421100,0.6972255729794934,0.25331724969843183,0.04101326899879373,0.0036188178528347406,0.0048250904704463205
06001421200,0.7376373626373627,0.2032967032967033,0.054945054945054944,0.0020604395604395605,0.0020604395604395605
06001421300,0.9556135770234987,0.04046997389033943,0.0026109660574412533,0.0,0.0013054830287206266
06001421400,0.8603448275862069,0.11379310344827587,0.02586206896551724,0.0,0.0
06001421500,0.5632823365785814,0.34492350486787204,0.07927677329624479,0.006954102920723227,0.005563282336578581
06001421600,0.5011746280344558,0.3837118245888802,0.08927173061863743,0.010180109631949883,0.015661707126076743
06001421700,0.9593023255813954,0.0377906976744186,0.0029069767441860465,0.0,0.0
06001421800,0.9773095623987034,0.02106969205834684,0.0016207455429497568,0.0,0.0
06001421900,0.9526462395543176,0.04178272980501393,0.0018570102135561746,0.0009285051067780873,0.002785515320334262
06001422000,0.896774193548387,0.05806451612903226,0.012903225806451613,0.0,0.03225806451612903
06001422100,0.940677966101695,0.04025423728813559,0.00423728813559322,0.006355932203389831,0.00847457627118644
06001422200,0.9620253164556962,0.028481012658227847,0.00949367088607595,0.0,0.0
06001422300,0.9736842105263158,0.016194331983805668,0.006072874493927126,0.0,0.004048582995951417
06001422400,0.8738738738738738,0.07207207207207207,0.009009009009009009,0.0,0.04504504504504504
06001422500,0.6917808219178082,0.2191780821917808,0.08904109589041095,0.0,0.0
06001422600,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.0
06001422700,0.6122448979591837,0.21428571428571427,0.14285714285714285,0.02040816326530612,0.01020408163265306
06001422800,0.48,0.36,0.08,0.0,0.08
06001422900,0.5769230769230769,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.23076923076923078
06001423000,0.978328173374613,0.01238390092879257,0.006191950464396285,0.0,0.0030959752321981426
06001423100,0.9706666666666667,0.024,0.0013333333333333333,0.0013333333333333333,0.0026666666666666666
06001423200,0.9464285714285714,0.04285714285714286,0.0,0.007142857142857143,0.0035714285714285713
06001423300,0.9655555555555555,0.03,0.0011111111111111111,0.0,0.0033333333333333335
06001423400,0.961864406779661,0.026836158192090395,0.005649717514124294,0.0,0.005649717514124294
06001423500,0.956081081081081,0.030405405405405407,0.0033783783783783786,0.0033783783783783786,0.006756756756756757
06001423601,0.8923076923076924,0.08307692307692308,0.024615384615384615,0.0,0.0
06001423602,0.8834355828220859,0.06134969325153374,0.04294478527607362,0.006134969325153374,0.006134969325153374
06001423700,0.6223776223776224,0.23543123543123542,0.13053613053613053,0.009324009324009324,0.002331002331002331
06001423800,0.6275933609958506,0.21473029045643152,0.13692946058091288,0.01037344398340249,0.01037344398340249
06001423901,0.9705882352941176,0.014705882352941176,0.014705882352941176,0.0,0.0
