tract_geoid_2019,<60,60,61 - 89,90,91 - 149,150,>150
06001400100,0.5,0.0,0.0,0.5,0.0,0.0,0.0
06001400200,0.8955223880597015,0.07462686567164178,0.0,0.029850746268656716,0.0,0.0,0.0
06001400300,0.8966942148760331,0.09917355371900827,0.0,0.0,0.0,0.004132231404958678,0.0
06001400400,0.895397489539749,0.08368200836820083,0.0,0.02092050209205021,0.0,0.0,0.0
06001400500,0.9142857142857143,0.0761904761904762,0.0,0.009523809523809525,0.0,0.0,0.0
06001400600,0.9491525423728814,0.03389830508474576,0.0,0.01694915254237288,0.0,0.0,0.0
06001400700,0.8958990536277602,0.06624605678233439,0.0,0.031545741324921134,0.0,0.006309148264984227,0.0
06001400800,0.8088888888888889,0.1688888888888889,0.0,0.017777777777777778,0.0,0.0044444444444444444,0.0
06001400900,0.9259259259259259,0.046296296296296294,0.0,0.018518518518518517,0.0,0.009259259259259259,0.0
06001401000,0.868632707774799,0.10991957104557641,0.0,0.01876675603217158,0.0,0.002680965147453083,0.0
06001401100,0.9313725490196079,0.049019607843137254,0.0,0.006535947712418301,0.0,0.013071895424836602,0.0
06001401200,0.8475609756097561,0.0975609756097561,0.0,0.012195121951219513,0.0,0.042682926829268296,0.0
06001401300,0.853448275862069,0.07758620689655173,0.0,0.02586206896551724,0.0,0.04310344827586207,0.0
06001401400,0.9067796610169492,0.062146892655367235,0.0,0.025423728813559324,0.0,0.005649717514124294,0.0
06001401500,0.9294117647058824,0.029411764705882353,0.0,0.041176470588235294,0.0,0.0,0.0
06001401600,0.9508196721311475,0.0,0.0,0.03278688524590164,0.0,0.01639344262295082,0.0
06001401700,0.9183673469387755,0.006802721088435374,0.0,0.04081632653061224,0.0,0.034013605442176874,0.0
06001401800,0.9079754601226994,0.024539877300613498,0.0,0.06748466257668712,0.0,0.0,0.0
06001402200,0.9345794392523364,0.02336448598130841,0.0,0.018691588785046728,0.0,0.02336448598130841,0.0
06001402400,0.9261363636363636,0.022727272727272728,0.0,0.045454545454545456,0.0,0.005681818181818182,0.0
06001402500,0.94,0.04,0.0,0.02,0.0,0.0,0.0
06001402600,0.9487179487179487,0.0,0.0,0.05128205128205128,0.0,0.0,0.0
