panel_size_class,count,pct,TotalNoOfUnits,pct_units
150,7461,1.4735885762815637,140138.0,6.24048428345402
60,198915,39.2868076197624,947165.0,42.178197893060606
61 - 89,0,0.0,0.0,0.0
90,63246,12.491433198700413,426038.0,18.97189515444907
91 - 149,0,0.0,0.0,0.0
<60,236259,46.662453215883396,731663.0,32.58167986045768
>150,0,0.0,0.0,0.0
