bzone,<60,60,90,150,>150
1,0.45845697329376855,0.27967359050445106,0.2158753709198813,0.04599406528189911,0.0
10,0.1715737363210005,0.47303282959874937,0.3251693590411673,0.030224075039082855,0.0
11,0.20654439349729053,0.36015006252605253,0.3826594414339308,0.05064610254272613,0.0
12,0.23330173775671406,0.4600947867298578,0.28954186413902055,0.017061611374407582,0.0
13,0.27380035925070567,0.3556581986143187,0.3453938927380036,0.02514754939697203,0.0
14,0.095565749235474,0.3058103975535168,0.5756880733944955,0.022935779816513763,0.0
15,0.0960419091967404,0.43247962747380675,0.45168800931315484,0.01979045401629802,0.0
16,0.18600129617627997,0.6545690213869086,0.14646791963707065,0.012961762799740765,0.0
2,0.3664264745129437,0.46330397651454497,0.14811849479583666,0.022151054176674675,0.0
3,0.5568718602384344,0.3645122591287396,0.06519457149283947,0.013421309139986504,0.0
4,0.1286549707602339,0.7289739500265816,0.10239234449760766,0.03997873471557682,0.0
5,0.47249834327369117,0.3399602385685885,0.16235917826375082,0.025182239893969515,0.0
6,0.2036612351639509,0.6868638100985717,0.10014081673707503,0.009334138000402333,0.0
7,0.5301923931678202,0.35018096387072195,0.11073718966283573,0.008889453298622134,0.0
8,0.2311893427801764,0.6701354293516366,0.09040924019336506,0.008265987674821949,0.0
9,0.28646012773964435,0.5132112474491825,0.1765033260011131,0.02382529881006016,0.0
