dac,<60,60,61 - 89,90,91 - 149,150,>150
Total,0.4670248536711203,0.3932051213625339,0.0,0.12502149715051564,0.0,0.014748527815830205,0.0
Non-DAC,0.41621204108330784,0.4381558437943608,0.0,0.1323030033122721,0.0,0.012320121357196538,0.0
DAC,0.5328165044152783,0.3334049036313551,0.0,0.11521295209206073,0.0,0.01790780222842498,0.0
