panel_size_class,dac,count,pct
150,No,3541,1.2320121357196538
150,Yes,3920,1.790780222842498
60,No,125933,43.81558437943608
60,Yes,72982,33.34049036313551
61 - 89,No,0,0.0
61 - 89,Yes,0,0.0
90,No,38026,13.23030033122721
90,Yes,25220,11.521295209206073
91 - 149,No,0,0.0
91 - 149,Yes,0,0.0
<60,No,119626,41.62120410833079
<60,Yes,116633,53.28165044152783
>150,No,0,0.0
>150,Yes,0,0.0
