dac,<100,100,101 - 199,200,>200
Total,0.201602733253572,0.5522345149248576,0.1788341396965569,0.027054844672614688,0.04027376745239878
Non-DAC,0.16099554486298104,0.5624043921239147,0.20636774364721505,0.02711981748309632,0.04286134767894823
DAC,0.3634001236594086,0.5109773573694872,0.06874263747459089,0.026762542917190244,0.029898832266420542
