panel_size_class,dac,count,pct
100,No,3255912,56.24043921239147
100,Yes,741305,51.09773573694872
101 - 199,No,1194719,20.636774364721504
101 - 199,Yes,99729,6.874263747459089
200,No,157004,2.7119817483096322
200,Yes,38826,2.6762542917190246
<100,No,932047,16.099554486298103
<100,Yes,527206,36.34001236594086
>200,No,248136,4.286134767894823
>200,Yes,43376,2.9898832266420543
