panel_size_class,count,pct_x,TotalNoOfUnits,pct_y
<60,52989,10.465639899350995,158489.0,7.057672534218728
60,297023,58.66379361423939,1091241.0,48.59404522656701
90,123249,24.342404120763007,629718.0,28.041967788951595
150,27671,5.4651856357912285,288803.0,12.860684343392737
>150,5382,1.0629767298553863,77376.0,3.4456301068699298
