panel_size_class,dac,count,pct
<100,No,106658,1.8423447722875474
<100,Yes,111241,7.66780055901927
100,No,1747256,30.18102680950375
100,Yes,547551,37.742485809113184
101 - 199,No,941750,16.267210985596932
101 - 199,Yes,131181,9.042257307402007
200,No,2263053,39.09058733484268
200,Yes,555138,38.26545488383635
>200,No,730536,12.61883009776909
>200,Yes,105644,7.282001440629189
