panel_size_class,dac,count,pct
<60,No,22071,7.679139919628413
<60,Yes,30918,14.124322175980703
60,No,168141,58.50112207087312
60,Yes,128882,58.87738180622113
90,No,79483,27.654436963971957
90,Yes,43766,19.99369572268489
150,No,15240,5.302437242315119
150,Yes,12431,5.678874732182422
>150,No,2480,0.8628638032113842
>150,Yes,2902,1.3257255629308493
